Type;Date;Price;
0;19.01.2009 12:31:08;109.13;
0;19.01.2009 12:34:33;109.15;
0;19.01.2009 12:45:59;109.2;
1;19.01.2009 12:47:10;109.2;
0;19.01.2009 12:51:44;109.15;
0;19.01.2009 12:59:49;108.95;
0;19.01.2009 13:01:09;108.88;
0;19.01.2009 13:05:04;108.77;
0;19.01.2009 13:07:43;108.51;
0;19.01.2009 13:09:07;108.12;
1;19.01.2009 13:09:44;107.9;
0;19.01.2009 13:16:04;108.07;
0;19.01.2009 13:17:11;108.1;
0;19.01.2009 13:20:08;108.15;
0;19.01.2009 13:21:38;108.25;
0;19.01.2009 13:24:29;108.34;
0;19.01.2009 13:25:58;108.45;
0;19.01.2009 13:27:20;108.47;
0;19.01.2009 13:28:49;108.65;
0;19.01.2009 13:29:04;108.71;
1;19.01.2009 13:30:47;108.76;
0;19.01.2009 13:32:37;108.56;
0;19.01.2009 13:33:04;108.58;
0;19.01.2009 13:48:59;108.28;
0;19.01.2009 13:50:44;108.3;
0;19.01.2009 13:57:44;108.18;
0;19.01.2009 13:57:51;108.17;
1;19.01.2009 14:03:20;107.95;
0;19.01.2009 14:07:25;108.1;
0;19.01.2009 14:08:25;108.16;
1;19.01.2009 14:11:56;108.27;
0;19.01.2009 14:22:10;108;
0;19.01.2009 14:24:49;107.94;
0;19.01.2009 14:28:50;107.49;
0;19.01.2009 14:35:21;107.19;
0;19.01.2009 14:36:02;106.99;
0;19.01.2009 14:37:24;106.95;
0;19.01.2009 14:37:41;106.94;
0;19.01.2009 14:38:02;106.93;
0;19.01.2009 14:38:30;106.91;
0;19.01.2009 14:38:43;106.92;
0;19.01.2009 14:39:47;106.77;
0;19.01.2009 14:42:55;106.45;
1;19.01.2009 14:43:07;106.36;
0;19.01.2009 14:45:30;106.5;
0;19.01.2009 14:45:41;106.5;
1;19.01.2009 14:50:53;106.74;
0;19.01.2009 14:53:01;106.5;
0;19.01.2009 14:53:13;106.45;
0;19.01.2009 14:53:50;105.99;
0;19.01.2009 14:54:39;105.8;
1;19.01.2009 14:56:10;105.44;
1;19.01.2009 14:57:18;105.58;
0;19.01.2009 14:59:00;105.23;
0;19.01.2009 14:59:38;105.24;
0;19.01.2009 15:01:00;105;
0;19.01.2009 15:01:53;105;
1;19.01.2009 15:01:56;105;
0;19.01.2009 15:03:30;105.16;
0;19.01.2009 15:04:38;105.22;
0;19.01.2009 15:04:49;105.24;
0;19.01.2009 15:05:15;105.25;
0;19.01.2009 15:05:37;105.39;
0;19.01.2009 15:05:54;105.39;
0;19.01.2009 15:07:18;105.61;
1;19.01.2009 15:09:05;105.79;
0;19.01.2009 15:11:47;105.55;
1;19.01.2009 15:13:59;105.53;
0;19.01.2009 15:15:19;105.71;
0;19.01.2009 15:15:46;105.82;
0;19.01.2009 15:16:05;106.06;
0;19.01.2009 15:16:11;106.04;
0;19.01.2009 15:16:47;106.25;
1;19.01.2009 15:17:09;106.26;
0;19.01.2009 15:19:43;106.1;
0;19.01.2009 15:21:01;105.79;
0;19.01.2009 15:21:48;105.77;
1;19.01.2009 15:21:52;105.8;
0;19.01.2009 15:23:35;105.82;
1;19.01.2009 15:23:57;105.82;
0;19.01.2009 15:27:52;105.53;
0;19.01.2009 15:28:34;105.35;
0;19.01.2009 15:28:53;105.31;
0;19.01.2009 15:30:06;105.29;
0;19.01.2009 15:34:06;105.19;
1;19.01.2009 15:35:31;105.13;
0;19.01.2009 15:37:21;105.54;
0;19.01.2009 15:38:42;105.56;
0;19.01.2009 15:39:35;105.61;
0;19.01.2009 15:41:42;105.75;
0;19.01.2009 15:42:15;105.9;
1;19.01.2009 15:43:10;106.02;
1;19.01.2009 15:46:35;105.64;
0;19.01.2009 15:51:07;105.99;
0;19.01.2009 15:52:15;105.94;
1;19.01.2009 15:53:59;106.13;
0;19.01.2009 15:59:09;105.97;
0;19.01.2009 16:00:09;105.75;
